,toeflScore,greV,greQ,greA,cgpa,cgpaScale,univName
0,112,160,167,4.5,0.85,10,Worcester Polytechnic Institute
2,94,146,157,3,0.7828,100,Worcester Polytechnic Institute
4,81,148,170,2.5,0.57,100,Worcester Polytechnic Institute
6,104,150,161,4.5,0.622,100,Worcester Polytechnic Institute
7,95,147,156,3,0.52,100,Worcester Polytechnic Institute
8,101,152,169,3,0.64,100,Worcester Polytechnic Institute
9,107,156,170,4.5,0.714,100,Worcester Polytechnic Institute
10,94,148,165,3.5,0.573,100,Worcester Polytechnic Institute
11,99,152,170,3.5,0.65,100,Worcester Polytechnic Institute
12,99,152,170,3.5,0.65,100,Worcester Polytechnic Institute
13,99,152,170,3.5,0.65,100,Worcester Polytechnic Institute
14,91,146,161,3,0.5484,100,Worcester Polytechnic Institute
15,101,149,159,3,0.765,100,Worcester Polytechnic Institute
16,96,161,165,3,0.705,100,Worcester Polytechnic Institute
17,98,143,159,3,0.55,100,Worcester Polytechnic Institute
18,111,156,159,3.5,0.7238,100,Worcester Polytechnic Institute
19,112,154,161,3.5,0.78,10,Worcester Polytechnic Institute
20,94,159,130,3,0.6324,100,Worcester Polytechnic Institute
21,99,143,162,3.5,0.874,10,Worcester Polytechnic Institute
22,105,148,160,3.5,0,0,Worcester Polytechnic Institute
23,105,130,130,3.5,0.64,100,Worcester Polytechnic Institute
24,94,130,130,4.5,0.775,4,Worcester Polytechnic Institute
26,108,162,161,3.5,0.846,10,Worcester Polytechnic Institute
27,109,152,163,3.5,0.652,100,Worcester Polytechnic Institute
29,114,165,164,3,0.5933,100,Worcester Polytechnic Institute
31,107,162,170,3,0.7,100,Worcester Polytechnic Institute
33,101,149,160,3,0.72,100,Worcester Polytechnic Institute
34,115,160,130,4,0.79,100,Worcester Polytechnic Institute
35,95,152,163,3,0.62,100,Worcester Polytechnic Institute
36,93,145,160,3,0.759,10,Worcester Polytechnic Institute
37,103,152,130,3,0.8,10,Worcester Polytechnic Institute
38,111,156,167,4,0.6825,100,Worcester Polytechnic Institute
40,101,150,170,3.5,0,0,Worcester Polytechnic Institute
42,103,130,167,3,0.58,100,Worcester Polytechnic Institute
43,91,141,130,3,0,0,Worcester Polytechnic Institute
44,110,130,170,4,0.8328,100,Worcester Polytechnic Institute
45,86,154,130,3.5,0,0,Worcester Polytechnic Institute
46,117,157,170,3.5,0,0,Worcester Polytechnic Institute
48,101,149,158,3,0.67,100,Worcester Polytechnic Institute
49,96,140,156,2,0.91,4,Worcester Polytechnic Institute
50,113,130,130,3.5,0.7813,100,Worcester Polytechnic Institute
52,101,130,130,4.5,0,0,Worcester Polytechnic Institute
53,108,158,167,4.5,0.869,10,Worcester Polytechnic Institute
54,98,145,159,3,0.64,100,Worcester Polytechnic Institute
55,102,153,152,3,0.804,10,Worcester Polytechnic Institute
56,101,148,163,4,0.53,100,Worcester Polytechnic Institute
57,101,130,169,4.5,0.7227,100,Worcester Polytechnic Institute
58,99,150,151,4,0.63,100,Worcester Polytechnic Institute
59,96,142,155,3.5,0,0,Worcester Polytechnic Institute
60,103,156,159,4,0.675,100,Worcester Polytechnic Institute
61,94,154,130,3,0.54,100,Worcester Polytechnic Institute
62,106,130,168,3.5,0.625,100,Worcester Polytechnic Institute
63,109,156,157,3,0.56,100,Worcester Polytechnic Institute
